person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
0.064516,1,0,0.007408,0.04,RENT,0.246377,MEDICAL,0.383402,0.227273,0.178571,0.53913,0,0
0.024194,0,0.5,0.00481,0,RENT,0.176812,EDUCATION,0.141975,0.227273,0.035714,0.491304,1,0
0.072581,1,0,0.022357,0.064,RENT,0.565217,PERSONAL,0.314129,0.181818,0.25,0.704348,0,0
0.104839,0,0,0.006526,0.08,RENT,0.333333,EDUCATION,0.168724,0.333333,0.107143,0.4,1,0
0.040323,0,0.5,0.012266,0.024,MORTGAGE,0.310145,PERSONAL,0.642661,0.181818,0.035714,0.45,0,1
0.153226,0,0,0.00247,0.128,RENT,0.15942,MEDICAL,0.675583,0.348485,0.392857,0.541304,1,0
0.024194,1,0,0.018527,0.008,MORTGAGE,0.304377,PERSONAL,0.103567,0.121212,0.107143,0.45,1,0
0.040323,0,0,0.00404,0.008,RENT,0.173913,MEDICAL,0.375171,0.272727,0.071429,0.341304,1,0
0.048387,0,0.25,0.006514,0.048,RENT,0.217391,EDUCATION,0.879973,0.227273,0,0.571739,1,0
0.016129,0,0.75,0.003647,0,RENT,0.15942,EDUCATION,0.518519,0.272727,0,0.686957,0,0
0.032258,1,0.25,0.004057,0.016,RENT,0.217391,MEDICAL,0.262689,0.333333,0,0.51087,0,0
0.064516,1,0.25,0.003611,0.04,RENT,0.101449,DEBTCONSOLIDATION,0.67284,0.181818,0.214286,0.593478,1,0
0.024194,1,0,0.004404,0,RENT,0.15942,MEDICAL,0.778464,0.227273,0.035714,0.413043,0,1
0.016129,1,0.5,0.000626,0.008,RENT,0.030986,VENTURE,0.159122,0.19697,0,0.491304,0,1
0.064516,1,0,0.006057,0.048,RENT,0.050725,MEDICAL,0.107682,0.060606,0.214286,0.545652,0,1
0.008065,1,0,0.011529,0.024,MORTGAGE,0.142029,EDUCATION,0.128258,0.090909,0.035714,0.482609,1,0
0.048387,1,0.5,0.009093,0.032,MORTGAGE,0.565217,EDUCATION,0.364883,0.409091,0.071429,0.263043,1,0
0.024194,0,0.25,0.015032,0,MORTGAGE,0.188406,PERSONAL,0.025377,0.090909,0.035714,0.423913,0,0
0.104839,1,0.5,0.005355,0.104,RENT,0.072464,PERSONAL,0.67284,0.090909,0.285714,0.584783,1,0
0.048387,0,0,0.00258,0.008,RENT,0.130435,PERSONAL,0.107682,0.287879,0.035714,0.55,0,0
0.032258,0,0.75,0.011045,0.048,RENT,0.565217,DEBTCONSOLIDATION,0.383402,0.348485,0.071429,0.526087,0,1
0.080645,0,0.5,0.032395,0.064,MORTGAGE,0.15942,EDUCATION,0.378601,0.030303,0.214286,0.48913,1,0
0.048387,1,0,0.008639,0.032,MORTGAGE,0.275362,PERSONAL,0.383402,0.212121,0.071429,0.31087,1,0
0.040323,1,0.25,0.006508,0.04,RENT,0.275362,VENTURE,0.51166,0.272727,0.035714,0.491304,1,0
0.048387,0,0.5,0.004712,0.064,MORTGAGE,0.333333,PERSONAL,0.041838,0.439394,0,0.56087,0,0
0.024194,0,0,0.009003,0.016,RENT,0.089855,VENTURE,0.313443,0.075758,0.035714,0.28913,1,0
0.040323,0,0.5,0.008727,0,RENT,0.130435,DEBTCONSOLIDATION,0.05144,0.106061,0.071429,0.58913,1,0
0.040323,1,0.5,0.005481,0.016,RENT,0.449275,EDUCATION,0.701646,0.515152,0,0.578261,0,1
0.040323,1,0.5,0.01154,0.024,RENT,0.294609,EDUCATION,0.288066,0.181818,0.178571,0.619565,1,0
0.032258,1,0,0.006503,0,MORTGAGE,0.130435,MEDICAL,0.025377,0.136364,0.035714,0.684783,1,0
0.104839,1,0,0.016226,0.064,MORTGAGE,0.15942,MEDICAL,0.383402,0.075758,0.214286,0.41087,1,0
0.008065,0,0.25,0.004676,0.008,RENT,0.130435,PERSONAL,0.628944,0.181818,0.071429,0.55,0,1
0.080645,0,0.5,0.00679,0.072,RENT,0.362319,DEBTCONSOLIDATION,0.288752,0.348485,0.107143,0.663043,0,0
0.153226,1,0,0.008353,0.136,RENT,0.124638,DEBTCONSOLIDATION,0.773663,0.106061,0.357143,0.502174,0,1
0.193548,1,0.25,0.022345,0.16,OWN,0.608696,MEDICAL,0.439643,0.19697,0.321429,0.328261,1,0
0.064516,0,0,0.009381,0.048,RENT,0.194203,PERSONAL,0.519204,0.151515,0.25,0.480435,1,0
0.024194,1,0.5,0.006179,0.016,RENT,0.188406,EDUCATION,0.383402,0.19697,0.071429,0.6,1,0
0.032258,0,0,0.007031,0,MORTGAGE,0.333333,MEDICAL,0.128258,0.30303,0.035714,0.51087,1,0
0.040323,0,0.75,0.019034,0.04,MORTGAGE,0.797101,PERSONAL,0.170096,0.287879,0,0.536957,1,0
0.032258,1,0.25,0.01722,0.008,RENT,0.42029,EDUCATION,0.358711,0.166667,0.035714,0.645652,0,0
0.040323,0,0.75,0.003175,0.016,RENT,0.202899,DEBTCONSOLIDATION,0.518519,0.363636,0,0.386957,0,0
0.064516,0,0,0.006033,0.048,RENT,0.15942,VENTURE,0.003429,0.181818,0.25,0.636957,0,0
0.048387,0,0.5,0.009858,0.032,RENT,0.42029,MEDICAL,0.409465,0.287879,0.035714,0.697826,0,0
0.008065,1,0.5,0.008624,0,MORTGAGE,0.101449,VENTURE,0.170096,0.090909,0.035714,0.582609,1,0
0.096774,1,0,0.006205,0.056,RENT,0.333333,VENTURE,0.180384,0.348485,0.178571,0.530435,1,0
0.040323,1,0.5,0.010236,0.016,RENT,0.089855,VENTURE,0.313443,0.060606,0.071429,0.591304,1,0
0.153226,1,0,0.148488,0.136,MORTGAGE,0.655536,PERSONAL,0.462963,0.030303,0.464286,0.58913,0,0
0.016129,1,0,0.011995,0.008,MORTGAGE,0.449275,EDUCATION,0.756516,0.257576,0.035714,0.61087,0,0
0.064516,1,0.25,0.013027,0.04,RENT,0.333333,PERSONAL,0.431413,0.181818,0.214286,0.541304,0,0
0.040323,0,0.75,0.00208,0.024,RENT,0.115942,EDUCATION,0.561728,0.30303,0,0.447826,0,1
0.040323,0,0.75,0.013053,0.048,MORTGAGE,0.121072,PERSONAL,0.434842,0.075758,0,0.493478,1,0
0.024194,0,0.75,0.019048,0.024,MORTGAGE,0.127536,DEBTCONSOLIDATION,0.11797,0.045455,0.071429,0.704348,1,0
0.032258,0,0.25,0.009041,0,MORTGAGE,0.072464,EDUCATION,0.358711,0.060606,0,0.293478,1,0
0.096774,1,0.75,0.006557,0.096,RENT,0.217391,MEDICAL,0.383402,0.227273,0.107143,0.556522,1,0
0.153226,0,0.5,0.014732,0.152,RENT,0.072464,EDUCATION,0.38203,0.045455,0.5,0.53913,0,0
0.040323,0,0.5,0.005084,0,RENT,0.42029,PERSONAL,0.130316,0.515152,0.035714,0.53913,0,1
0.040323,1,0,0.011216,0.032,MORTGAGE,0.173913,VENTURE,0.041838,0.106061,0.035714,0.626087,1,0
0.032258,0,0.5,0.021208,0.016,RENT,0.489855,HOMEIMPROVEMENT,0.431413,0.166667,0.035714,0.65,1,0
0.008065,1,0,0.016067,0,RENT,0.275362,EDUCATION,0.383402,0.121212,0.035714,0.491304,0,0
0.145161,1,0,0.006339,0.112,RENT,0.130435,PERSONAL,0.701646,0.136364,0.428571,0.541304,0,1
0.048387,0,0.25,0.008235,0.048,MORTGAGE,0.347826,VENTURE,0.241427,0.287879,0,0.482609,1,0
0.112903,0,0.5,0.007182,0.112,OWN,0.055072,EDUCATION,0.11797,0.060606,0.107143,0.48913,0,0
0.104839,0,0.25,0.009707,0.056,MORTGAGE,0.333333,VENTURE,0.383402,0.227273,0.25,0.521739,0,1
0.104839,0,0.25,0.004225,0.096,OWN,0.057971,VENTURE,0.203018,0.106061,0.25,0.673913,1,0
0.241935,1,0.25,0.024025,0.2,RENT,0.310145,HOMEIMPROVEMENT,0.392318,0.090909,0.321429,0.604348,0,0
0.048387,0,0.25,0.008203,0.024,MORTGAGE,0.231884,HOMEIMPROVEMENT,0.465706,0.19697,0,0.613043,1,0
0.048387,1,0.25,0.016543,0.032,MORTGAGE,0.15942,PERSONAL,0.386145,0.075758,0.071429,0.495652,0,0
0.016129,1,0.25,0.004581,0,RENT,0.275362,MEDICAL,0.436214,0.363636,0.071429,0.617391,1,0
0.032258,0,0.75,0.005662,0.016,RENT,0.043478,PERSONAL,0.450617,0.060606,0.071429,0.580435,1,0
0.040323,0,0.25,0.001796,0.008,RENT,0.02029,MEDICAL,0.340192,0.090909,0,0.521739,0,0
0.056452,1,0,0.003213,0.032,RENT,0.188406,MEDICAL,0.238683,0.348485,0.285714,0.619565,1,0
0.040323,0,0,0.027395,0.048,MORTGAGE,0.275362,MEDICAL,0.390261,0.075758,0.071429,0.556522,1,0
0.064516,1,0.25,0.012728,0.04,RENT,0.471014,VENTURE,1,0.257576,0.178571,0.584783,0,1
0.104839,0,0.25,0.011531,0.096,RENT,0.42029,HOMEIMPROVEMENT,0.394376,0.242424,0.285714,0.556522,0,0
0.080645,1,0,0.013636,0.064,OWN,0.121739,MEDICAL,0.383402,0.060606,0.178571,0.547826,1,0
0.016129,1,0.25,0.003315,0,OTHER,0.072464,DEBTCONSOLIDATION,0.276406,0.136364,0.035714,0.369565,0,0
0.024194,1,0.5,0.017203,0.008,MORTGAGE,0.275362,VENTURE,0.220165,0.121212,0,0.663043,1,0
0.120968,1,0,0.008908,0.104,RENT,0.043478,DEBTCONSOLIDATION,0.552812,0.045455,0.178571,0.747826,1,0
0.177419,0,0,0.005843,0.16,MORTGAGE,0.275362,MEDICAL,0.455418,0.30303,0.464286,0.223913,1,0
0.056452,1,0.75,0.001067,0.032,OWN,0.221014,EDUCATION,0.617284,0.787879,0.107143,0.25,0,1
0.137097,1,0,0.010685,0.128,RENT,0.42029,PERSONAL,0.655693,0.272727,0.464286,0.558696,1,0
0.080645,0,0.75,0.011318,0.072,MORTGAGE,0.206522,PERSONAL,0.383402,0.136364,0.107143,0.671739,0,0
0.072581,0,0.25,0.009596,0.072,RENT,0.142029,PERSONAL,0.153635,0.106061,0.178571,0.663043,1,0
0.169355,0,0,0.006074,0.16,RENT,0.130435,VENTURE,0.141975,0.151515,0.464286,0.580435,1,0
0.048387,0,0.25,0.017204,0.04,MORTGAGE,0.565217,DEBTCONSOLIDATION,0.076818,0.227273,0.035714,0.328261,1,0
0.024194,1,0.25,0.005496,0.032,RENT,0.333333,EDUCATION,0.378601,0.378788,0.035714,0.602174,0,1
0.064516,1,0,0.009498,0.048,MORTGAGE,0.333333,DEBTCONSOLIDATION,0.383402,0.242424,0.142857,0.55,0,0
0.032258,0,0.75,0.007013,0.008,OWN,0.066667,HOMEIMPROVEMENT,0.487654,0.075758,0.071429,0.628261,1,0
0.104839,0,0,0.006425,0.064,MORTGAGE,0.043478,MEDICAL,0.603567,0.060606,0.142857,0.569565,0,1
0.064516,0,0.25,0.005712,0.048,RENT,0.034783,MEDICAL,0.383402,0.045455,0.25,0.621739,0,0
0.096774,0,0.5,0.007358,0.08,RENT,0.574812,VENTURE,0.130316,0.5,0.214286,0.558696,0,1
0.064516,0,0.5,0.003995,0.024,OWN,0.202899,HOMEIMPROVEMENT,0.518519,0.30303,0.214286,0.415217,1,0
0.096774,0,0,0.016672,0.104,MORTGAGE,0.333333,HOMEIMPROVEMENT,0.025377,0.136364,0.214286,0.436957,1,0
0.056452,0,0,0.004621,0.04,RENT,0.275362,DEBTCONSOLIDATION,0.63786,0.363636,0.214286,0.656522,0,0
0.032258,0,0.75,0.00754,0.016,RENT,0.568551,EDUCATION,0.590535,0.484848,0.071429,0.665217,0,1
0.096774,1,0,0.007411,0.072,RENT,0.307246,HOMEIMPROVEMENT,0.354595,0.272727,0.285714,0.523913,1,0
0.056452,1,0.5,0.019882,0.04,MORTGAGE,0.217391,EDUCATION,0.091907,0.075758,0.285714,0.519565,1,0
0.040323,0,0.5,0.004488,0.024,MORTGAGE,0.15942,VENTURE,0.354595,0.227273,0,0.691304,1,0
0.137097,1,0,0.013899,0.12,MORTGAGE,0.275362,DEBTCONSOLIDATION,0.383402,0.136364,0.357143,0.445652,1,0
0.040323,1,0.5,0.00584,0.032,OWN,0.188406,HOMEIMPROVEMENT,0.933471,0.212121,0.071429,0.347826,0,1
0.024194,1,0,0.003078,0,RENT,0.393478,VENTURE,0.383402,0.712121,0.035714,0.565217,0,1
0.056452,0,0,0.009387,0.032,RENT,0.449275,DEBTCONSOLIDATION,0.168724,0.318182,0.285714,0.380435,1,0
0.056452,0,0.75,0.003073,0.032,RENT,0.101449,DEBTCONSOLIDATION,0.510974,0.19697,0.285714,0.513043,0,0
0.024194,0,0,0.015325,0,MORTGAGE,0.147101,MEDICAL,0.076818,0.075758,0.035714,0.38913,1,0
0.056452,1,0.25,0.012556,0.04,RENT,0.15942,VENTURE,0.441701,0.090909,0.285714,0.569565,1,0
0.024194,0,0.25,0.001587,0.032,RENT,0.083565,VENTURE,0.341564,0.257576,0.071429,0.645652,0,1
0.040323,1,0.25,0.005096,0,MORTGAGE,0.147826,VENTURE,0.231139,0.19697,0.035714,0.519565,1,0
0.112903,0,0.5,0.035747,0.112,MORTGAGE,0.312319,DEBTCONSOLIDATION,0.519204,0.060606,0.214286,0.567391,0,0
0.072581,1,0.25,0.008862,0.056,RENT,0.333333,DEBTCONSOLIDATION,0.759259,0.257576,0.25,0.671739,0,1
0.064516,0,0.75,0.006543,0.048,RENT,0.246377,DEBTCONSOLIDATION,0.633059,0.242424,0.285714,0.515217,1,0
0.032258,0,0.5,0.008159,0.008,MORTGAGE,0.261594,MEDICAL,0.427984,0.212121,0.035714,0.667391,0,1
0.056452,1,0.25,0.005557,0.048,RENT,0.42029,MEDICAL,0.702332,0.469697,0.035714,0.554348,0,1
0.032258,0,0.25,0.009014,0.016,RENT,0.188406,VENTURE,0.168724,0.151515,0.035714,0.347826,0,0
0.064516,1,0,0.01088,0.032,MORTGAGE,0.710145,EDUCATION,0.90535,0.439394,0.178571,0.586957,1,0
0.056452,0,0.5,0.003697,0.04,RENT,0.269826,MEDICAL,0.144033,0.424242,0.107143,0.547826,0,1
0.024194,1,0.5,0.003328,0,OWN,0.043478,PERSONAL,0.33882,0.090909,0,0.55,0,0
0.016129,0,0,0.006248,0,RENT,0.263043,DEBTCONSOLIDATION,0.082305,0.272727,0.035714,0.41087,1,0
0.064516,1,0.75,0.009922,0.032,RENT,0.090232,MEDICAL,0.194787,0.075758,0.142857,0.445652,1,0
0.048387,1,0.75,0.01205,0.04,RENT,0.333333,DEBTCONSOLIDATION,0.606996,0.19697,0.071429,0.617391,0,1
0.024194,1,0.75,0.00687,0,OWN,0.42029,VENTURE,0.536351,0.393939,0.035714,0.758696,0,0
0.024194,1,0,0.006196,0.008,RENT,0.275362,EDUCATION,0.262689,0.287879,0.035714,0.445652,1,0
0.008065,1,0.75,0.001391,0,OWN,0.072464,HOMEIMPROVEMENT,0.383402,0.257576,0.071429,0.532609,0,1
0.032258,1,0.25,0.003447,0,RENT,0.171014,MEDICAL,0.339506,0.30303,0.035714,0.532609,1,0
0.145161,1,0.25,0.006729,0.128,MORTGAGE,0.173913,VENTURE,0.041838,0.181818,0.464286,0.51087,0,0
0.056452,1,0.75,0.003197,0.032,RENT,0.043478,VENTURE,0.527435,0.090909,0.142857,0.613043,1,0
0.040323,1,0.75,0.025719,0.032,MORTGAGE,0.565217,VENTURE,0.791495,0.151515,0.035714,0.615217,0,0
0.056452,0,0,0.009856,0.04,MORTGAGE,0.130435,DEBTCONSOLIDATION,0.007545,0.090909,0.107143,0.665217,1,0
0.080645,1,0.25,0.016282,0.088,MORTGAGE,0.685507,VENTURE,0.630316,0.287879,0.25,0.417391,0,0
0.080645,0,0.5,0.006968,0.088,MORTGAGE,0.674957,EDUCATION,0.473251,0.621212,0.25,0.61087,0,0
0.072581,1,0,0.010024,0.048,MORTGAGE,0.054928,HOMEIMPROVEMENT,0.663237,0.045455,0.214286,0.521739,0,1
0.048387,1,1,0.00868,0.04,MORTGAGE,0.892754,MEDICAL,0.431413,0.666667,0.035714,0.658696,1,0
0.016129,1,0.5,0.000951,0.008,RENT,0.17971,EDUCATION,0.153635,0.681818,0.071429,0.332609,0,1
0.040323,1,0.5,0.003711,0.032,RENT,0.202899,VENTURE,0.679698,0.333333,0.035714,0.613043,0,1
0.064516,0,0.25,0.00803,0.048,MORTGAGE,0.333333,PERSONAL,0.697531,0.272727,0.214286,0.619565,0,1
0.072581,0,0,0.004688,0.056,RENT,0.086957,VENTURE,0.498628,0.121212,0.214286,0.456522,1,0
0.08871,1,0.5,0.014061,0.08,MORTGAGE,0.507246,MEDICAL,0.383402,0.242424,0.214286,0.502174,1,0
0.016129,0,0.25,0.020152,0.008,RENT,0.542029,DEBTCONSOLIDATION,0.574074,0.19697,0.071429,0.617391,1,0
0.016129,1,0.5,0.007925,0,RENT,0.333333,MEDICAL,0.524005,0.272727,0.035714,0.613043,1,0
0.048387,1,0.25,0.013046,0.032,MORTGAGE,0.246377,PERSONAL,0.082305,0.136364,0.035714,0.702174,1,0
0.032258,0,0,0.005078,0.024,RENT,0.130435,DEBTCONSOLIDATION,0.041838,0.166667,0.035714,0.558696,1,0
0.016129,0,0.25,0.008174,0.032,RENT,0.217391,PERSONAL,0.678326,0.181818,0.071429,0.576087,0,1
0.080645,1,0.75,0.014059,0.064,RENT,0.507246,MEDICAL,0.241427,0.242424,0.214286,0.554348,0,0
0.024194,0,0.25,0.007244,0.016,RENT,0.362319,PERSONAL,0.05144,0.333333,0.071429,0.31087,1,0
0.064516,1,0,0.005359,0.032,OWN,0.171739,VENTURE,0,0.212121,0.214286,0.55,1,0
0.193548,0,0,0.008598,0.176,MORTGAGE,0.089855,MEDICAL,0.107682,0.075758,0.428571,0.545652,0,0
0.072581,1,0.25,0.020088,0.048,MORTGAGE,0.42029,HOMEIMPROVEMENT,0.168724,0.151515,0.214286,0.619565,0,0
0.040323,1,0,0.002349,0.024,RENT,0.086957,MEDICAL,0.333333,0.212121,0.035714,0.504348,0,0
0.064516,0,0,0.014865,0.056,MORTGAGE,0.130435,MEDICAL,0.383402,0.060606,0.178571,0.593478,1,0
0.056452,0,0.25,0.009519,0.04,MORTGAGE,0.101449,DEBTCONSOLIDATION,0.107682,0.075758,0.178571,0.497826,1,0
0.104839,0,0.5,0.00303,0.072,RENT,0.275362,MEDICAL,0.238683,0.515152,0.285714,0.595652,0,1
0.016129,0,0,0.010046,0.008,MORTGAGE,0.492754,EDUCATION,0.415638,0.333333,0.035714,0.595652,0,0
0.08871,0,0.5,0.008301,0.048,RENT,0.15942,EDUCATION,0.450617,0.136364,0.142857,0.55,1,0
0.056452,1,0.25,0.038189,0.016,MORTGAGE,0.797101,PERSONAL,0.722908,0.151515,0.25,0.486957,0,0
0.032258,0,0.75,0.00571,0,MORTGAGE,0.130435,MEDICAL,0.266804,0.151515,0.071429,0.543478,0,0
0.024194,0,0.5,0.011052,0,MORTGAGE,0.107246,VENTURE,0.48011,0.075758,0.035714,0.628261,0,0
0.177419,1,0,0.011029,0.16,MORTGAGE,0.228986,HOMEIMPROVEMENT,0.082305,0.151515,0.321429,0.634783,1,0
0.032258,1,0.5,0.015068,0.024,RENT,0.449275,MEDICAL,0.450617,0.212121,0.035714,0.232609,1,0
0.040323,0,0,0.007903,0.032,RENT,0.217391,EDUCATION,0.467078,0.181818,0.035714,0.558696,1,0
0.032258,1,0.5,0.015049,0,MORTGAGE,0.124638,HOMEIMPROVEMENT,0.450617,0.060606,0.035714,0.521739,0,0
0.024194,1,0,0.003689,0,RENT,0.231884,VENTURE,0.056241,0.378788,0.035714,0.271739,1,0
0.08871,0,0.25,0.008955,0.056,RENT,0.123188,PERSONAL,0.039095,0.106061,0.214286,0.476087,0,0
0.016129,0,0.5,0.004429,0.032,MORTGAGE,0.166667,HOMEIMPROVEMENT,0.143347,0.242424,0.071429,0.569565,0,1
0.024194,1,0.75,0.013238,0.04,RENT,0.275362,DEBTCONSOLIDATION,0.05144,0.151515,0.071429,0.682609,1,0
0.024194,1,0.75,0.003998,0.008,RENT,0.221014,EDUCATION,0.497942,0.333333,0.035714,0.4,1,0
0.024194,1,0.5,0.001238,0,RENT,0.066667,HOMEIMPROVEMENT,0.671468,0.257576,0,0.526087,0,1
0.056452,1,0.5,0.001092,0.056,RENT,0.07971,VENTURE,0.33882,0.30303,0.25,0.582609,0,1
0.016129,1,0.5,0.005658,0,MORTGAGE,0.101449,EDUCATION,0.501372,0.121212,0,0.663043,0,0
0.080645,0,0.5,0.007382,0.08,RENT,0.130522,MEDICAL,0.389575,0.121212,0.107143,0.663043,1,0
0.096774,1,0.75,0.002404,0.08,RENT,0.217391,DEBTCONSOLIDATION,0.210562,0.484848,0.142857,0.536957,0,1
0.137097,0,0,0.017066,0.112,RENT,0.565217,HOMEIMPROVEMENT,0.747599,0.227273,0.464286,0.576087,0,1
0.024194,0,0.25,0.015172,0,MORTGAGE,0.101449,PERSONAL,0.747599,0.045455,0.035714,0.478261,1,0
0.040323,0,0.5,0.021349,0,RENT,0.710145,MEDICAL,0.356653,0.227273,0,0.586957,1,0
0.282258,1,0,0.01985,0.256,MORTGAGE,0.228986,PERSONAL,0.288752,0.090909,0.571429,0.667391,0,0
0.096774,1,0.5,0.029037,0.096,MORTGAGE,0.437681,PERSONAL,0.383402,0.106061,0.285714,0.497826,1,0
0.056452,1,0,0.008977,0.072,MORTGAGE,0.133333,VENTURE,0.416324,0.106061,0.142857,0.586957,1,0
0.120968,1,0.25,0.021999,0.096,MORTGAGE,0.394783,PERSONAL,0.229081,0.121212,0.214286,0.426087,0,1
0.096774,0,0.5,0.001013,0.088,RENT,0.011594,MEDICAL,0.333333,0.090909,0.107143,0.580435,0,1
0.048387,0,0.5,0.00736,0.048,MORTGAGE,0.316348,PERSONAL,0.162551,0.287879,0.071429,0.417391,1,0
0.032258,1,0.5,0.006653,0,RENT,0.478261,DEBTCONSOLIDATION,0.340192,0.454545,0,0.408696,0,1
0.024194,1,0.25,0.005717,0,MORTGAGE,0.275362,EDUCATION,0.143347,0.30303,0.035714,0.321739,1,0
0.064516,0,0.75,0.004059,0.048,RENT,0.333333,DEBTCONSOLIDATION,0.392318,0.484848,0.25,0.604348,0,1
0.120968,1,0.5,0.005617,0.072,MORTGAGE,0.15942,MEDICAL,0.117284,0.181818,0.214286,0.65,1,0
0.08871,0,0.5,0.027055,0.072,MORTGAGE,0.710145,VENTURE,0.524005,0.181818,0.107143,0.565217,0,0
0.032258,0,0.5,0.003573,0.032,RENT,0.072464,VENTURE,0.392318,0.136364,0,0.517391,1,0
0.040323,1,0,0.010687,0.04,OWN,0.275362,HOMEIMPROVEMENT,0.383402,0.181818,0,0.315217,1,0
0.008065,0,0.25,0.001147,0.008,RENT,0.130435,VENTURE,0.365569,0.469697,0.071429,0.469565,0,1
0.080645,0,0,0.012056,0.056,MORTGAGE,0.73913,MEDICAL,0.722908,0.409091,0.107143,0.595652,1,0
0.112903,1,0.5,0.003691,0.096,OWN,0.072464,HOMEIMPROVEMENT,0.313443,0.136364,0.107143,0.665217,1,0
0.016129,1,0.5,0.003833,0.016,RENT,0.391304,VENTURE,0.170096,0.590909,0,0.397826,0,1
0.08871,0,0,0.002432,0.072,MORTGAGE,0.014493,HOMEIMPROVEMENT,0.091907,0.060606,0.142857,0.452174,1,0
0.032258,1,0,0.005388,0,RENT,0.130435,MEDICAL,0.587791,0.166667,0.071429,0.543478,1,0
0.064516,0,0,0.009013,0.024,MORTGAGE,0.124638,HOMEIMPROVEMENT,0.428669,0.106061,0.25,0.454348,1,0
0.201613,0,0.75,0.007056,0.208,RENT,0.275362,DEBTCONSOLIDATION,0.441701,0.257576,0.5,0.656522,0,0
0.056452,1,0,0.00884,0.048,MORTGAGE,0.101449,MEDICAL,0.025377,0.090909,0.142857,0.563043,1,0
0.048387,1,0,0.011524,0,MORTGAGE,0.42029,VENTURE,0.210562,0.257576,0.035714,0.613043,1,0
0.056452,0,0.25,0.007068,0.016,RENT,0.101449,HOMEIMPROVEMENT,0.041838,0.106061,0.142857,0.486957,0,1
0.032258,1,0.25,0.00933,0.008,MORTGAGE,0.15942,EDUCATION,0.487654,0.121212,0,0.55,1,0
0.016129,1,0.5,0.008567,0,RENT,0.101449,VENTURE,0.383402,0.090909,0,0.332609,1,0
0.048387,0,0,0.010537,0.008,RENT,0.250522,DEBTCONSOLIDATION,0.750343,0.166667,0.142857,0.536957,0,1
0.048387,0,0.75,0.007351,0.016,RENT,0.203623,EDUCATION,0.416324,0.181818,0,0.521739,1,0
0.040323,0,0.75,0.006292,0.032,MORTGAGE,0.246377,DEBTCONSOLIDATION,0.699588,0.257576,0.035714,0.641304,0,1
0.08871,1,0.75,0.020419,0.064,MORTGAGE,1,DEBTCONSOLIDATION,0.724966,0.348485,0.142857,0.558696,0,1
0.072581,0,0,0.00691,0.056,RENT,0.133333,DEBTCONSOLIDATION,0.441701,0.136364,0.178571,0.530435,1,0
